Rnd,Pick,Tm,Player,ID,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushTD,Rec,RecYds,RecTD,SoloTkl,Int,Sk,College/Univ,Year
1,1,ARI,Kyler Murray,MurrKy00,QB,22,,0,0,0,,,,,,,,,,,,,,,,,,Oklahoma,2019
1,2,SFO,Nick Bosa,BosaNi00,DE,21,,0,0,0,,,,,,,,,,,,,,,,,,Ohio St.,2019
1,3,NYJ,Quinnen Williams,WillQu00,DT,21,,0,0,0,,,,,,,,,,,,,,,,,,Alabama,2019
1,4,OAK,Clelin Ferrell,FerrCl00,DE,22,,0,0,0,,,,,,,,,,,,,,,,,,Clemson,2019
1,5,TAM,Devin White,WhitDe02,LB,21,,0,0,0,,,,,,,,,,,,,,,,,,LSU,2019
1,6,NYG,Daniel Jones,JoneDa05,QB,22,,0,0,0,,,,,,,,,,,,,,,,,,Duke,2019
1,7,JAX,Josh Allen,AlleJo03,LB,22,,0,0,0,,,,,,,,,,,,,,,,,,Kentucky,2019
1,8,DET,T.J. Hockenson,HockTJ00,TE,22,,0,0,0,,,,,,,,,,,,,,,,,,Iowa,2019
1,9,BUF,Ed Oliver,OlivEd00,DT,21,,0,0,0,,,,,,,,,,,,,,,,,,Houston,2019
1,10,PIT,Devin Bush,BushDe01,LB,21,,0,0,0,,,,,,,,,,,,,,,,,,Michigan,2019
1,11,CIN,Jonah Williams,WillJo10,G,21,,0,0,0,,,,,,,,,,,,,,,,,,Alabama,2019
1,12,GNB,Rashan Gary,GaryRa00,LB,21,,0,0,0,,,,,,,,,,,,,,,,,,Michigan,2019
1,13,MIA,Christian Wilkins,WilkCh00,DT,23,,0,0,0,,,,,,,,,,,,,,,,,,Clemson,2019
1,14,ATL,Chris Lindstrom,LindCh00,G,22,,0,0,0,,,,,,,,,,,,,,,,,,Boston Col.,2019
1,15,WAS,Dwayne Haskins,HaskDw00,QB,22,,0,0,0,,,,,,,,,,,,,,,,,,Ohio St.,2019
1,16,CAR,Brian Burns,BurnBr00,DE,21,,0,0,0,,,,,,,,,,,,,,,,,,Florida St.,2019
1,17,NYG,Dexter Lawrence,LawrDe03,DT,21,,0,0,0,,,,,,,,,,,,,,,,,,Clemson,2019
1,18,MIN,Garrett Bradbury,BradGa00,C,24,,0,0,0,,,,,,,,,,,,,,,,,,North Carolina St.,2019
1,19,TEN,Jeffery Simmons,SimmJe01,DT,22,,0,0,0,,,,,,,,,,,,,,,,,,Mississippi St.,2019
1,20,DEN,Noah Fant,FantNo00,TE,21,,0,0,0,,,,,,,,,,,,,,,,,,Iowa,2019
1,21,GNB,Darnell Savage,SavaDa00,S,,,0,0,0,,,,,,,,,,,,,,,,,,Maryland,2019
1,22,PHI,Andre Dillard,DillAn00,T,23,,0,0,0,,,,,,,,,,,,,,,,,,Washington St.,2019
1,23,HOU,Tytus Howard,HowaTy00,T,23,,0,0,0,,,,,,,,,,,,,,,,,,Alabama St.,2019
1,24,OAK,Josh Jacobs,JacoJo01,RB,21,,0,0,0,,,,,,,,,,,,,,,,,,Alabama,2019
1,25,BAL,Marquise Brown,BrowMa04,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,Oklahoma,2019
1,26,WAS,Montez Sweat,SweaMo00,DE,23,,0,0,0,,,,,,,,,,,,,,,,,,Mississippi St.,2019
1,27,OAK,Johnathan Abram,AbraJo01,S,22,,0,0,0,,,,,,,,,,,,,,,,,,Mississippi St.,2019
1,28,LAC,Jerry Tillery,TillJe00,DT,22,,0,0,0,,,,,,,,,,,,,,,,,,Notre Dame,2019
1,29,SEA,L.J. Collier,CollLJ00,DE,23,,0,0,0,,,,,,,,,,,,,,,,,,TCU,2019
1,30,NYG,Deandre Baker,BakeDe00,CB,22,,0,0,0,,,,,,,,,,,,,,,,,,Georgia,2019
1,31,ATL,Kaleb McGary,McGaKa00,T,24,,0,0,0,,,,,,,,,,,,,,,,,,Washington,2019
1,32,NWE,N'Keal Harry,HarrNK00,WR,21,,0,0,0,,,,,,,,,,,,,,,,,,Arizona St.,2019
2,33,ARI,Byron Murphy,MurpBy00,CB,21,,0,0,0,,,,,,,,,,,,,,,,,,Washington,2019
2,34,IND,Rock Ya-Sin,Ya-SRo00,CB,23,,0,0,0,,,,,,,,,,,,,,,,,,Temple,2019
2,35,JAX,Jawaan Taylor,TaylJa02,T,21,,0,0,0,,,,,,,,,,,,,,,,,,Florida,2019
2,36,SFO,Deebo Samuel,SamuDe00,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,South Carolina,2019
2,37,CAR,Greg Little,LittGr01,T,21,,0,0,0,,,,,,,,,,,,,,,,,,Mississippi,2019
2,38,BUF,Cody Ford,FordCo00,T,22,,0,0,0,,,,,,,,,,,,,,,,,,Oklahoma,2019
2,39,TAM,Sean Bunting,BuntSe00,CB,,,0,0,0,,,,,,,,,,,,,,,,,,Central Michigan,2019
2,40,OAK,Trayvon Mullen,MullTr00,CB,21,,0,0,0,,,,,,,,,,,,,,,,,,Clemson,2019
2,41,DEN,Dalton Risner,RisnDa00,T,24,,0,0,0,,,,,,,,,,,,,,,,,,Kansas St.,2019
2,42,DEN,Drew Lock,LockDr00,QB,22,,0,0,0,,,,,,,,,,,,,,,,,,Missouri,2019
2,43,DET,Jahlani Tavai,TavaJa00,LB,,,0,0,0,,,,,,,,,,,,,,,,,,Hawaii,2019
2,44,GNB,Elgton Jenkins,JenkEl00,C,23,,0,0,0,,,,,,,,,,,,,,,,,,Mississippi St.,2019
2,45,NWE,Joejuan Williams,WillJo13,CB,21,,0,0,0,,,,,,,,,,,,,,,,,,Vanderbilt,2019
